object_name;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Российская Федерация;101,2;105,8;104,8;99,2;96,4;95,5;99,8;101,68;101,9;98,6
Центральный федеральный округ;101,7;104,4;104,7;96,3;96,2;96,5;100,3;102,2;103;98,7
Белгородская область;102,4;110,8;102,5;99,3;99,3;100,8;99,1;98,7;100,7;98,1
Брянская область;104,3;107;106,3;100;97;95;99,4;102,4;100,4;96,2
Владимирская область;100,6;106,7;107,3;98;99,5;92,2;100,9;96,5;102;98
Воронежская область;106;114,1;108,4;105,8;101,1;93,6;97,4;100;101,1;95,5
Ивановская область;104,9;115,7;104,9;102;95,5;98,5;100,4;94,4;99,5;97,2
Калужская область;104,1;110,4;103,6;100,3;96,4;97,7;95,2;98,2;102,7;99,5
Костромская область;99,3;102,7;102,6;104,1;98,6;98,1;99,8;94,7;101;97,2
Курская область;102,4;108,3;104,4;103,9;100,4;93,2;99,1;100,1;100,9;97,8
Липецкая область;97,8;112;103,8;102,8;96,1;96,8;100,1;100,1;102,6;95,7
Московская область;106,3;112,9;101,6;97,7;97,5;99,7;100;102,7;102,7;97,7
Орловская область;103;107,2;100,6;100,7;98,9;96;99,7;100,5;99,6;98,6
Рязанская область;96,8;113,4;104;102,2;94,8;94,2;97,3;100,3;99,9;97,2
Смоленская область;99,5;108,7;101,8;101;99,1;93,1;100,9;101,4;100,4;98,3
Тамбовская область;102,6;109,2;105;100,8;98,5;95,8;97;98,8;98,1;94,3
Тверская область;98,8;109;102,5;98,7;96,7;94,4;97,5;99,8;103,2;97,4
Тульская область;101,1;107;100,2;102,2;99;97,9;97,7;96;99,9;98,2
Ярославская область;97,2;113,5;105,4;101,3;99,5;93;98;96,3;99,5;98,3
Москва;100,1;98,6;106,2;92,7;94,4;95,7;101,5;104,1;104,6;100,2
Северо-Западный федеральный округ;98,7;105,9;105,3;101,2;96,7;98,3;100,9;103;100,8;100,2
Республика Карелия;100;108,7;100;96,7;97,9;94,9;100,7;102,3;100,8;100,9
Республика Коми;97,7;106,1;100,4;94,7;90,9;94,7;97,5;101,3;97,1;97,8
Архангельская область;100,5;104,5;105,8;101,3;95,1;92,9;98,9;102,1;100;98,5
Ненецкий автономный округ;98,4;110,9;101,6;94;94,9;90,8;100,9;105,9;99,8;101,1
Архангельская область без автономного округа;100,9;103,9;106,2;102,2;95,1;93;98,7;101,8;100,2;98,3
Вологодская область;100,8;110,6;105,6;105,7;99,3;99,2;94,2;100,7;100,5;99,9
Калининградская область;98;110,3;100;104,2;97,2;94,6;100,7;102,1;101,6;99
Ленинградская область;99,4;108;106,6;101,2;102,8;104,3;101;104,4;100,9;100,9
Мурманская область;96,7;107,6;105,8;97,6;93,8;94,2;100,2;102;100,8;101
Новгородская область;100,4;109,8;101,8;102,8;96,5;91,8;97,6;95,4;97,2;96,7
Псковская область;101,2;109,4;100,5;100,9;92,7;95;101;98,6;101,4;99,8
Санкт-Петербург;98;103;107,6;102;97;100,4;103,1;104,5;101,4;100,8
Южный федеральный округ;101;107;108,7;103,2;97,2;97,7;99,9;102,2;100,9;99,2
Республика Адыгея;106,6;114,4;101,8;109,9;91,3;102,2;101,6;102,5;102,6;101,4
Республика Калмыкия;101,7;107,1;101,5;103,9;101,4;96;98,8;101,3;102,6;102,4
Республика Крым;-99999999;-99999999;-99999999;-99999999;-77777777;102,1;106,4;105,9;99;99,8
Краснодарский край;102,7;107,6;112,4;103,6;97,4;99,1;98,5;102,6;101,1;99,2
Астраханская область;101,3;106;104,7;103;94;90,1;97,1;100,9;100,2;97,1
Волгоградская область;96,7;105,3;103;99,5;97,6;90,2;98,8;100,1;101;99,3
Ростовская область;100,5;106,4;108,1;103,2;97,7;96,7;100,6;102,3;101,2;98,6
Севастополь;-99999999;-99999999;-99999999;-99999999;-77777777;139,3;104,1;101,4;101,2;102,9
Северо-Кавказский федеральный округ;104,9;109;104,1;103,3;95,8;93;100,2;99,2;101,1;97,2
Республика Дагестан;105,7;107,5;99,6;103,2;98,8;91,1;100,9;96,9;102,5;97,2
Республика Ингушетия;116,2;107,2;111;107,9;87,9;100;99,3;100,9;101,7;99,7
Кабардино-Балкарская Республика;101,3;101,7;103;102,7;99,6;97,3;99,1;99,8;98,5;99
Карачаево-Черкесская Республика;98,2;108,8;101,7;106,6;93,3;92;98;98,7;100,2;97,2
Республика Северная Осетия — Алания;95,4;111,4;103;105,2;98,3;95,2;98,7;100,2;101;94,6
